Artist,Song Title,Lyrics,Year,Artists Collaborated,Year Collaborated
Chantays,Pipeline,[Instrumental],1963,Brian Wilson,1993
Lesley Gore,It's My Party,"[Chorus] It's my party, and I'll cry if I want to Cry if I want to, cry if I want to You would cry too if it happened to you  [Verse 1] Nobody knows where my Johnny has gone But Judy left the same time Why was he holding her hand When he's supposed to be mine?  [Chorus] It's my party, and I'll cry if I want to Cry if I want to, cry if I want to You would cry too if it happened to you  [Verse 2] Play all my records, keep dancing all night But leave me alone for awhile 'Til Johnny's dancing with me I've got no reason to smile  [Chorus] It's my party, and I'll cry if I want to Cry if I want to, cry if I want to You would cry too if it happened to you  [Verse 3] Judy and Johnny just walked through the door Like a queen with her king Oh, what a birthday surprise Judy's wearing his ring  [Chorus] It's my party, and I'll cry if I want to Cry if I want to, cry if I want to You would cry too if it happened to you  [Outro] Oh, it's my party, and I'll cry if I want to Cry if I want to, cry if I want to You would cry too if it happened to you Oh, it's my party, and I'll cry if I want to",1963,Quincy Jones,1963
Jan and Dean,Surf City,"Two girls for every boy I bought a '30 Ford wagon and we call it a woodie (Surf City, here we come) You know it's not very cherry, it's an oldie but a goody (Surf City, here we come) Well, it ain't got a back seat or a rear window But it still gets me where I wanna go And we're goin' to Surf City, cause it's two to one You know we're goin' to Surf City, gonna have some fun Ya, we're goin' to Surf City, cause it's two to one You know we're goin' to Surf City, gonna have some fun, now Two girls for every boy You see they never roll the streets up cause there's always somethin' goin' (Surf City, here we come) You know they're either out surfin' or they got a party growin' (Surf City, here we come) Well, with two swingin' honeys for every guy And all you gotta do is just wink your eye Ya, we're goin' to Surf City, cause it's two to one You know we're goin' to Surf City, gonna have some fun Ya, we're goin' to Surf City, cause it's two to one Ya, we're goin' to Surf City, gonna have some fun, now Two girls for every boy And if my woody breaks down on me somewhere on the surf route (Surf City, here we come) I'll strap my board to my back and hitch a ride in my wetsuit (Surf City, here we come) And when I get to Surf City I'll be shootin' the curl And checkin' out the parties for a surfer girl And we're goin' to Surf City, cause it's two to one You know we're goin' to Surf City, gonna have some fun Ya, we're goin' to Surf City, cause it's two to one Ya, we're goin' to Surf City, gonna have some fun, now Two girls for every Two girls for every boy",1963,Brian Wilson,1963
Eydie Gorme,Blame It On The Bossa Nova,"I was at a dance when he caught my eye Standin' all alone lookin' sad and shy We began to dance, swaying' to and fro And soon I knew I'd never let him go  Blame it on the bossa nova with its magic spell Blame it on the bossa nova that he did so well Oh, it all began with just one little dance But then it ended up a big romance Blame it on the bossa nova The dance of love  (Now was it the moon?) No, no, the bossa nova (Or the stars above?) No, no, the bossa nova (Now was it the tune?) Yeah, yeah, the bossa nova (The dance of love)  Now I'm glad to say I'm his bride to be And we're gonna raise a family And when our kids ask how it came about I'm gonna say to them without a doubt  Blame it on the bossa nova with its magic spell Blame it on the bossa nova that he did so well Oh, it all began with just one little dance But then it ended up a big romance Blame it on the bossa nova The dance of love  (Now was it the moon?) No, no, the bossa nova (Or the stars above?) No, no, the bossa nova (Now was it the tune? ) Yeah, yeah, the bossa nova (The dance of love)  (Now was it the moon?) No, no, the bossa nova (Or the stars above ?) No, no, the bossa nova",1963,Frank Sinatra,1964
Dovells,You Can't Sit Down,"Hey pretty baby! (you can't sit down) A don't you hear the drummer thumpin' (you can't sit down) You gotta shake it like a crazy (you can't sit down) Because the band is sayin' something (you can't sit down) And everybody is a jumpin'(you can't sit down) You gotta slop, bop, flip flop, hip hop Never stop (You can't sit down, you can't sit down)  You gotta move, move, move, a round and round (You can't sit down, you can't sit down) You gotta fly, fly, fly, way off the ground You're puttin down, a crazy, shout No, no, you can't sit down, no, no, you can't sit down  When you're on South Street (you can't sit down) And the band is really bootin' (you can't sit down) You hear the hip beat with the back beat (you can't sit down) And you see the gang a groovin' (you can't sit down) You gotta get your bottom movin' (you can't sit down) You gotta make it, break it, shake it all around You can't sit down, you can't sit down  You gotta move, move, move, a round and round (You can't sit down, you can't sit down) You gotta fly, fly, fly, way off the ground You're puttin down, a crazy, shout No, no, you can't sit down, no, no, you can't sit down  Get in there honey!  [Instrumental]  You can't sit down, you can't sit down, you can't sit down You can't sit down, you can't sit down, you can't sit down You can't sit down, you can't sit down, you movin' em down A crazy shout, you can't sit down  A, yea, yea, yea, hey pretty baby You know you really dance so fine now You're really shakin' like a crazy A don't you down lead the line now We're gonna do it one more time now You got to make it, break it, shake it,all around (You can't sit down, you can't sit down)  You gotta move, move, move, a round and round (You can't sit down, you can't sit down) You gotta fly, fly, fly, way off the ground You're puttin down, a crazy, shout No, no, you can't sit down, no, no, you can't sit down  (You can't sit down, you can't sit down) You gotta move, move, move, a round and round (You can't sit down, you can't sit down) You gotta fly, fly, fly, way off the ground............  [Fades]",1963,Chubby Checker,1961
Martha and The Vandellas,Heat Wave,"Whenever I'm with him Something inside Starts to burning And I'm filled with desire Could it be a devil in me Or is this the way love's supposed to be?  It's like a heat wave Burning in my heart (It's like a heat wave) I can't keep from crying (It's like a heat wave) It's tearing me apart  Whenever he calls my name Soft, low, sweet, and plain Right then, right there, I feel that burning flame Has high blood pressure got a hold on me Or is this the way love's supposed to be?  It's like a heat wave Burning in my heart (It's like a heat wave) I can't keep from crying (It's like a heat wave) It's tearing me apart  Ooh-ooh-ooh-ooh-ooh Ooh, heat wave Ooh-ooh-ooh-ooh-ooh Ooh, heat wave  Sometimes I stare in space Tears all over my face I can't explain it, don't understand it I ain't never felt like this before Now that funny feeling has me amazed Don't know what to do, my head's in a haze It's like a heat wave  Yeah, yeah, yeah, yeah (But it's all right, girl) Oh (Go ahead, girl) Yeah, yeah (Well, it's all right, girl) Oh (Can't miss it, that's love, girl) I feel it burning (Don't pass up this chance) Right here in my heart (It sounds like a true romance) Don't you know it's like a heat wave?  Yeah, yeah, yeah, yeah (Burning, burning) Oh (Burning, burning, burning) Yeah, don't you know it's like a heat wave? Burning right here (Burning, burning, burning) In my heart (Burning, burning, burning) Yeah, yeah, yeah, yeah (Burning, burning) Oh (Burning, burning, burning)",1963,Marvin Gaye,1964
Rooftop Singers,Walk Right In,"Walk right in, sit right down Daddy, let your mind roll on Walk right in, sit right down Daddy, let your mind roll on  Everybody's talkin' 'bout a new way of walkin' Do you want to lose your mind? Walk right in, sit right down Daddy, let your mind roll on  Walk right in, sit right down Baby, let your hair hang down Walk right in, sit right down Baby, let your hair hang down  Everybody's talkin' 'bout a new way of walkin' Do you want to lose your mind? Walk right in, sit right down Baby, let your hair hang down  Walk right in, sit right down Daddy, let your mind roll on Walk right in, sit right down Daddy, let your mind roll on  Everybody's talkin' 'bout a new way of walkin' Do you want to lose your mind? Walk right in, sit right down Daddy, let your mind roll on Daddy, let your mind roll on",1963,Bob Dylan,1962
Randy and The Rainbows,Denise,"Ooh, Denise, scooby doo I'm in love with you, Denise, scooby doo I'm in love with you, Denise, scooby doo I'm in love with you  Denise, Denise Oh, with your eyes so blue Denise, Denise I've got a crush on you Denise, Denise I'm so in love with you  Oh, when we walk It seems like paradise Oh, when we talk It always feels so nice Denise, Denise I'm so in love with you  You're my queen And I'm in heaven every time I look at you When you smile It's like a dream And I'm so lucky 'cause I found a girl like you  Ooh, Denise, scooby loo I'm in love with you, Denise, scooby doo I'm in love with you, Denise, scooby doo I'm in love with you  Denise, Denise Oh, won't you hold me tight? Denise, Denise Oh, can we kiss good night? Denise, Denise I'm so in love with you  Ooh, Denise, scooby loo I'm in love with you, Denise, scooby doo I'm in love with you, Denise, scooby doo I'm in love with you",1963,Frankie Lymon,1965
Beach Boys,Surfer Girl,"[Verse 1] Little surfer, little one Made my heart come all undone  [Chorus] Do you love me, do you, surfer girl? Surfer girl, my little surfer girl  [Verse 2] I have watched you on the shore Standing by the ocean's roar  [Chorus] Do you love me, do you, surfer girl? Surfer girl, my little surfer girl  [Verse 3] We could ride the surf together While our love would grow In my woody, I would take you Everywhere I go So I say from me to you I will make your dreams come true  [Chorus] Do you love me, do you, surfer girl? Surfer girl, my little surfer girl  [Outro] Girl, surfer girl, my little surfer girl Girl, surfer girl, my little surfer girl Girl, surfer girl, my little surfer girl",1963,The Fat Boys,1987
Jimmy Soul,If You Wanna Be Happy,"If you wanna be happy for the rest of your life Never make a pretty woman your wife So for my personal point of view Get an ugly girl to marry you  If you wanna be happy for the rest of your life Never make a pretty woman your wife So for my personal point of view Get an ugly girl to marry you  A pretty woman makes her husband look small And very often causes his downfall As soon as he marries her then she starts To do the things that will break his heart  But if you make an ugly woman your wife You'll be happy for the rest of your life An ugly woman cooks meals on time She'll always give you peace of mind  If you wanna be happy for the rest of your life Never make a pretty woman your wife So for my personal point of view Get an ugly girl to marry you  Don't let your friends say you have no taste Go ahead and marry anyway Though her face is ugly, her eyes don't match Take it from me, she's a better catch  If you wanna be happy for the rest of your life Never make a pretty woman your wife So for my personal point of view Get an ugly girl to marry you  Say man! Hey baby! I saw your wife the other day! Yeah? Yeah, an' she's ugly! Yeah, she's ugly, but she sure can cook, baby! Yeah, alright!  If you wanna be happy for the rest of your life Never make a pretty woman your wife So for my personal point of view Get an ugly girl to marry you  If you wanna be happy for the rest of your life Never make a pretty woman your wife So for my personal point of view Get an ugly girl to marry you  If you wanna be happy for the rest of your life Never make a pretty woman your wife So for my personal point of view Get an ugly girl to marry you  If you wanna be happy for the rest of your life Never make a pretty woman your wife So for my personal point of view Get an ugly girl to marry you",1963,Wilson Pickett,1963
Trini Lopez,If I Had A Hammer,"Ooh, ooh ooh Ooh, ooh ooh Ooh  If I had a hammer I'd hammer in the morning I'd hammer in the evening All over this land  I'd hammer out danger I'd hammer out a warning I'd hammer about the love between my brothers and my sisters All, all over this land  Ooh, ooh ooh Ooh, ooh ooh Ooh, ooh  If I had a bell I'd ring it in the morning I'd ring it in the evening All over this land  I'd ring out danger I'd ring out a warning I'd ring about the love between my brothers and my sisters All, all over this land  Ooh, ooh ooh Ooh, ooh ooh Ooh, ooh  If I had a song I'd sing it in the morning I'd sing it in the evening All over this land  I'd sing out danger I'd sing out a warning, yeah I'd sing out about the love between my brothers and my sisters All, all over this land  Ooh, ooh ooh Ooh, ooh  Now, I've got a hammer And I've got a bell And I've got a song to sing All over this land  It's the hammer of justice It's the bell of freedom, yeah It's the song about the love between my brothers and my sisters All, all over this land  Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah  All over this land Ooh, all over this land Hee, all over this land, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah  All over this land Hee, all over this land",1963,The Ventures,1963
Tommy Roe,Everybody,"Everybody! Everybody! Everybody's had a broken heart now! Everybody! Everybody! Everybody's had the blues Everybody! Everybody! Everybody's blue when they're lonesome! Everybody! Everybody! Everybody's had the blues One time or other, everybody, listen to me You lose somebody you love But that's no reason for you to break down and cry! I said a-hey, everybody! Everybody! Everybody's had a lonely moment! Everybody! Everybody! Everybody's had the blues  One time or other, everybody, listen to me You lose somebody you love But that's no reason for you to break down and cry! I said a-hey, everybody! Everbody! Everybody's had a lonely moment! Everybody! Everybody! Everybody's had the blues I said a-hey, everybody! Everybody! Everybody's blue when they're lonesome! Everybody! Everybody! Everybody's had the blues",1963,Chris Montez,1962
Dion,Ruby Baby,"Ah, now that I love a girl and Ruby is her name (Hear me talking now) This girl don't love me, but I love her just the same (What'd I say) Oh-ooh, Ruby-Ruby, how I want ya Like a ghost I'm a-gonna haunt ya Ruby-Ruby-Ruby will you be mine... sometime Each time I see you waving my heart cries (Oh, it does Ruby) I'll tell ya, I'm gonna steal you away from all those guys Oh-ooh, from the happy day I met you I made a bet that I was going to get you Ruby-Ruby-Ruby will you be mine (Hear me talking, in time now!)  I'll tell ya... I love this girl, I said Ruby is her name (Believe me now) When this girl looks at me, she just sets my soul a-flame Don't you know, I got all kind of kisses too, yeah And I'm gonna give them all to you Now listen up, Ruby-Ruby when will you be mine Gonna get you sometime! Ruby-Ruby, Ruby baby Ruby-Ruby, Ruby baby Ruby-Ruby, Ruby baby Ruby-Ruby, Ruby baby",1963,Paul Anka,2005
Essex,Easier Said Than Done,"My friends all tell me Go to him, run to him Say sweet lovely things to him And tell him, he's the one  Deep in my heart I know it But it's so hard to show it Cause it's easier, easier said than done  My buddies tell me Fly to him, sigh to him Tell him I would die for him And tell him, he's the one  Although he gives me a feeling That sets my heart a-reeling Yet it's easier, easier said than done  Well, I know that I love him so I'm afraid that he'll never know Because I (I-I) I get so timid and shy Each time that I look him in the eye  They all tell me Sing to him, swing with him And just do anything for him And tell him, he's the one  I got a love so true But I'm sad and blue Cause it's easier, easier said than done  Well, I know that I love him so I'm afraid that he'll never know Because I (I-I) I get so timid and shy Each time that I look him in the eye  They all tell me Sing to him, swing with him And just do anything for him And tell him, he's the one  I got a love so true But I'm sad and blue Cause it's easier, easier said than done Easier-er-er-er, said than done",1963,Adele,2011
Los Indios Tabajaras,Maria Elena,nan,1963,Bonnie Guitar,1963
Ruby and The Romantics,Our Day Will Come,"Our day will come And we'll have everything We'll share the joy Falling in love can bring  No one can tell me That I'm too young to know I love you so (love you so) And you love me  Our day will come If we just wait a while No tears for us Think love and wear a smile  Our dreams have magic because We'll always stay In love this way Our day will come (Our day will come, our day will come)  Our dreams have magic because W'll always stay In love this way Our day will come Our day will come",1963,Billy Joel,1983
Skeeter Davis,I Can't Stay Mad At You,I can't stay mad at you You can make me cry You can break my heart But I'll never say we're through And even when I shout I can't stay mad at you I can't stay mad at you  I got mad at you last night When you were holding Another girl tight But when I thought about all your charms I bounced right back into your arms...  I think you'll know for sure I won't be the one to fall in love with someone new I'll never say goodbye I can't stay mad at you,1963,Bobby Bare,1963
Barbara Lewis,"Hello, Stranger","(Shoo-Bop Shoo-Bop, my baby) (Shoo-Bop Shoo-Bop) Hello stranger (Ooh) It seems so good to see you back again How long has it been? (Ooh it seems like a mighty long time) (Shoo-Bop Shoo-Bop, my baby) (Ooh) It seems like a mighty long time  Ohh, I'm I'm I'm I'm I'm so glad (Ooh) You stopped by to say hello to me Remember that's the way it used to be Ooh, it seems like a mighty long time Shoo-Bop Shoo-Bop, my baby Ooh, it seems like a mighty long time  (Shoo-Bop Shoo-Bop, my baby) (Shoo-Bop Shoo-Bop, my baby) Ohh.. (Shoo-Bop Shoo-Bop, my baby) (Shoo-Bop Shoo-Bop, my baby) Ahh yes I'm so glad (Shoo-Bop Shoo-Bop, my baby) (Shoo-Bop Shoo-Bop, my baby) You're here again (Shoo-Bop Shoo-Bop, my baby)  Ohh, If you're not gonna stay (Ooh) Please don't tease me Like you did before Because I still love you so (Ooh) Although It seems like a mightly long time (Shoo-Bop Shoo-Bop, my baby) (ooh) It seems like a mighty long time  (Shoo-Bop Shoo-Bop, my baby) Ohh (Shoo-Bop Shoo-Bop, my baby) Ohh my my my my (Shoo-Bop Shoo-Bop, my baby) (Shoo-Bop Shoo-Bop, my baby) (Shoo-Bop Shoo-Bop, my baby) I'm so happy (Shoo-Bop Shoo-Bop, my baby) (Shoo-Bop Shoo-Bop, my baby) That you're here at last (Shoo-Bop Shoo-Bop, my baby) (Shoo-Bop Shoo-Bop, my baby) Ohh...",1963,The Dells,1965
Ronettes,Be My Baby,"Ronnettes Miscellaneous Be My Baby The night we met I knew I needed you so And if I had the chance I'd never let you go So won't you say you love me I'll make you so proud of me We'll make 'em turn their heads Every place we go So won't you please (Be my be my baby) Be my little baby (I want it only say) Say you'll be my darling (Be my be my baby) Be my baby now (I want it only say) Ooh, ohh, ohh, oh I'll make you happy, baby Just wait and see For every kiss you give me I'll give you three Oh, since the day I saw you I have been waiting for you You know I will adore you Till eternity So won't you please (Be my be my baby) Be my little baby (I want it only say) Say you'll be my darling (Be my be my baby) Be my baby now (I want it only say) Ooh, ohh, ohh, ohh, oh (INSTRUMENTAL) So come on and please (Be my be my baby) Be my little baby (I want it only say) Say you'll be my darling (Be my be my baby) Be my baby now (I want it only say) Ooh, ohh, ohh, oh (Be my be my baby) Be my little baby (I want it only say) Ooh-oh-oh-oh, ooh-oh-oh-oh (Be my be my baby) Oh-oh-oh, oohh... (I want it only say) Oh, oh, oh, oh, oooohh...",1963,Bruce Springsteen,1977
Roy Orbison,Mean Woman Blues,"Hmm, well I got a woman mean as she can be Well I got a woman mean as she can be Some-a-times I think she's almost mean as me  She gotta ruby lips, she got shapely hips, yeah Boy she makes ole Roy-oy flip I got a woman mean as she can be Some-a-times I think she's almost mean as me  Well I ain't braggin', it's understood Everything I do, well I sure do it good Yeah I got a woman mean as she can be Some-a-times I think she's almost mean as me Well!  She gotta ruby lips, she got shapely hips, yeah Boy she makes ole Roy-oy flip I got a woman mean as she can be Some-a-times I think she's almost mean as me, easy now  Ah-huh-huh-huh ....  Now let's go one time  Well I got a woman (sha la la la) Yeah I got a woman (sha la la la) Yeah I got a woman (sha la la la) Well I got a woman (sha la la la) Some-a-times I think she's almost mean as me",1963,Bruce Springsteen,1988
Henry Mancini,Days Of Wine And Roses,"The days of wine and roses laugh and run away like a child at play Through a meadow land toward a closing door A door marked ""nevermore"" that wasn't there before  The lonely night discloses just a passing breeze filled with memories Of the golden smile that introduced me to The days of wine and roses and you  (The lonely night discloses) just a passing breeze filled with memories Of the golden smile that introduced me to The days of wine and roses and you-oo-oo",1963,Johnny Mathis,1970
Orlons,South Street,"Where do all the hippest meet? (South Street, South Street) Where the dancin' is elite (South Street, South Street) Side by side we're loose and neat When we're stompin' down the street Hurry down, baby she's the hippest street in town!(Oh baby)  Meet me, on South Street, oh yeah, hurry on down Come on now, meet me on South Street The hippest street in town Well you take West Street, East Street, North Avenue (Cause I know) South Street's the best street To have a ball with you  Do you hear that groovy beat? (South Street, South Street) Don't it make you move your feet? (South Street, South Street) Everybody gathers round Cause they dig that crazy sound Now hurry down, baby she's the hippest street in town  (Oh baby) Meet me on South Street, (come on) oh yeah, hurry on down Come on now, meet me on South Street, the hippest street in town (Well you take) West Street, East Street, North Avenue (Cause I know) South Street's the best street To have a ball with you  (Oh baby) Meet me on South Street, (come on) oh yeah, hurry on down Come on now, meet me on South Street, the hippest street in town (Well you take) West Street, East Street, North Avenue (Cause I know) South Street's the best street To have a ball with you",1963,The Beatles,1964
Four Seasons,Candy Girl,"I've been a-searchin' all this wide world Now finally I've found my Candy girl Candy girl  I-yi-yi-yi found me a girl (Candy girl) She-ee-ee-ee sets my heart a-whirl (Candy girl) With huggin' and kissin' and lov-in' (She's mine) mi-ine (mine) mi-ine Whoa-oa-oa-oh-oh (Candy girl)  We get along so well (Candy girl) I know just why I fell (Candy girl) She's thrillin' (thrillin') oh, chillin' (chillin') Yes she's so divine (She's mine) mi-ine (mine) mi-ine Whoa-oa-oa-oh-oh (Candy girl)  When we're out together Everyone knows the way we feel We both seem to glow with the glow of a love And it's plain to see Our love is real  I-yi-yi-yi'm happy as can be (Candy girl) She-ee-ee-ee vows eternally (Candy girl) To hold me (hold me) and love me (love me) Until the end of time (She's mine) mi-ine (mine) mi-ine Whoa-oa-oa-oh-oh  Candy girl",1963,Ed Sheeran,2014
Major Lance,The Monkey Time,"There's a place right across town, whenever you're ready Where people gather 'round, whenever they're ready And then the music begins to play You feel a groove comin' on its way  Are you ready (are you ready) Well, you get yours, cause-a I got mine For the Monkey Time (Monkey Time) (Monkey Time)  Now the dance that the people do, I don't know how it started All I know is that when the beat brings a feel It's so hard to get parted And then the music begins to play  Automatically you're on your way Are you ready (are you ready) Well, you get yours, cause-a I got mine For the Monkey Time (Monkey Time)  (Monkey Time) Do the Monkey, yeah (do the Monkey Time) Do the Monkey, yeah (do the Monkey Time) Ah-twist them hips (twist them hips)  Let your backbone slip (let your backbone slip) Now move your feet (move your feet) Get on the beat (get on the beat) Are you ready (are you ready)  Well, you get yours, cause-a I got mine For the Monkey Time (Monkey Time) (Monkey Time) Now the dance that the people do, I don't know how it started  All I know is that when the beat brings a feel It's so hard to get parted And then the music begins to play Automatically you're on your way  Are you ready (are you ready) Well, you get yours, cause-a I got mine For the Monkey Time (Monkey Time) Ah, do the Monkey, yeah  Give me a big strong line You're lookin' real fine",1963,Otis Redding,1967
Bill Anderson,Still,"[Chorus 1] (Still) Though you broke my heart (Still) Though we're far apart (I love you still)  [Chorus 2] (Still) After all this time (Still) You're still on my mind (I love you still)  [Verse 1] I've lost count of the hours and I've lost track of the days In fact, I've lost just about everything since you went away (I love you still) Everything that is except the memories you left me And that's one things that no one can mar I don't know who you're with, I don't even know where you've gone My only hope is that some day you might hear this song And you'll know, I wrote it especially for you (I love you still) And I love you wherever you are  [Chorus 2]  [Verse 2] This flame in my heart is like an eternal fire For every day it burns hotter and every day it burns higher (I love you still) And I haven't been able to put out one little flicker Not even with all of these tears My friends all think, I'm crazy and maybe I am But I'll carry this torch just as long as I can For someday you might just decide to come home (I love you still) And I want you to know, I'm still here  [Chorus 1]",1963,Dolly Parton,2016
Bobby Vinton,Blue On Blue,"Blue on blue, heartache on heartache Blue on blue, now that we are through – Blue on blue, heartache on heartache And I find I can't get over losing you!  I walk along the street we used to walk – Two by two, lovers pass And as they're passing by I could die 'Cause you're not here with me! Now the trees are bare, there's Sadness in the air and I'm as blue as I can be!  Blue on blue, heartache on heartache Blue on blue, now that we are through – Blue on blue, heartache on heartache And I find I can't get over losing you!  Night after lonely night, we meet in dreams As I run to your side You wait with open arms – Open arms That now are closed to me! Through a veil of tears your Vision disappears and I'm as blue as I can be!  Blue on blue, heartache on heartache Blue on blue, now that we are through – Blue on blue, heartache on heartache And I find I can't get over losing you  Blue on blue, heartache on heartache Blue on blue, now that we are through – Blue on blue . . ",1963,Blue Velvet,1963
Garnet Mimms and The Enchanters,Cry Baby,"CRY BABY Garnet Mimms & the Enchanters Cry cry baby, cry baby, cry baby Welcome back home Now he told you, that he loved you much more than I But he left you and you don't you just don't know why And when you don't know what to do You come running and Cry cry baby, cry baby, cry baby Welcome back home Well I can always lose Don' you know nobody can love you the way that I do Take the pain and the heartache too Ah honey you know that I'll be around When you need to Cry cry baby, cry baby, cry baby Welcome back home Welcome back home SPOKEN: I've spent so many nights Just waiting for you to come walking through that door And even tho you've made a fool of me so many times before I know that all it takes is just the sight of your face To make me realize that I will always love you darlin And I can see that you got some more tears to shed I can see it baby, cause your eyes, your eyes are getting red So c'mon, c'mon, c'mon, c'mon c'mon Cry cry baby, cry baby, cry baby Cry cry baby, cry baby, cry baby",1963,Curtis Mayfield,1961
Lou Christie,Two Faces Have I,I don't want the world to know I don't want my heart to show  Two faces have I I pretend that I'm happy But I'm Mr. blue I pretend that I'm happy Since I lost you  Two faces have I One to laugh and one to cry Two faces have I One to laugh and one to cry  Will I ever laugh again She'll never see me cry Will I walk with a smile on my face Kniowing I live a lie  I pretend that I'm carefree But what am I I pretend that I'm carefree But I'm living a lie  Two faces have I One to laugh and one to cry Two faces have I One to laugh and one to cry,1963,The Four Seasons,1966
Ray Charles,Busted,"[Verse] Yeah, my bills are all due and the baby needs shoes but I'm busted Cotton is down, quarter a pound but I'm busted, oh yeah I got cow that went dry, hen that won't lay Big stack of bills getting bigger each day County's going to haul my name, know that I went and I'm busted, I am, yeah Well, I went to my brother to ask for a loan because I was busted But I hate to beg like a dog for a bone but I'm busted But my brother said, ""There ain't a thing I can do My wife and my kids are all down with the flu I was just thinking about calling on you cause I'm busted"" And I am no thief but a man can go wrong when he's busted The food that we canned last summer is gone and I'm busted, no, no, no Well, the fields are all bare and the cotton won't grow And my family and I had to pack up and go I'll make a living, my Lord, how I don't know cause I'm busted",1963,Billy Joel,1994
Crystals,Da Doo Ron Ron,"Met him on a Monday and my heart stood still Da doo ron ron ron Da doo ron ron Somebody told me that his name was Bill Da doo ron ron ron Da doo ron ron  Yes, my heart stood still Yes, his name was Bill And when he walked me home Da doo ron ron ron Da doo ron ron  Knew what he was doing when he caught my eye Da doo ron ron ron Da doo ron ron He looked so quiet but my oh my Da doo ron ron ron Da doo ron ron  Yes, he caught my eye Yes, my oh my And when he walked me home Da doo ron ron ron Da doo ron ron  Picked me up at seven and he looked so fine Da doo ron ron ron Da doo ron ron Someday soon I'm gonna make him mine Da doo ron ron ron Da doo ron ron  Yes, he looked so fine Yes, I'll make him mine And when he walked me home Da doo ron ron ron Da doo ron ron",1963,Beyoncé,2013
Shirelles,Foolish Little Girl,"Spoken: ""You broke his heart and made him cry And he's been blue since then"". ""Now he's Found somebody new and you want him back again""  Foolish little girl,fickle little girl You didn't want him when he wanted you He's found another love,it's her he's dreaming of And there's not a single thing that you can do  ""But I love him"" ""No you don't it's just your pride that's hurt"" "" I still love him"" (If you got him back again,you'd go right out and do him dirt)  Foolish little girl,fickle little girl You didn't want him when he wanted you He's found another love,it's her he's dreaming of And there's not a single thing that you can do  ""But I love him"" ""It's too late to have a change of heart"" ""I still love him"" (Tomorrow is his wedding day and you'll keep quiet if you're smart!)  Foolish little girl,fickle little girl You didn't want him when he wanted you He's found another love,it's her he's dreaming of And there's not a single thing that you can do  ""Forget him cause he don't belong to you"" ""It's too late he's found somebody new"" ""There's not a single thing that you can do""",1963,Dionne Warwick,1967
